Class,Age,Gender,Survived
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,Yes
First Class,Adult,Female,No
First Class,Adult,Female,No
First Class,Adult,Female,No
First Class,Adult,Female,No
First Class,Child,Male,Yes
First Class,Child,Male,Yes
First Class,Child,Male,Yes
First Class,Child,Male,Yes
First Class,Child,Male,Yes
First Class,Child,Female,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,Yes
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Male,No
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,Yes
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Adult,Female,No
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Male,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Second Class,Child,Female,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,Yes
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
Thrid Class,Adult,Male,No
