Player,Age,Team,Games,Starts,Mins,MinPerGame,FGMade,FGAttempt,FGPct,FG3Made,FG3Attempt,FG3Pct,FTMade,FTAttempt,FTPct,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Anthony Parker,35,CLE,72,65,2091,29,220,552,0.399,86,227,0.379,74,95,0.779,33,185,218,218,67,10,80,109,600
Shane Battier,32,HOU,82,59,2375,29,229,509,0.45,102,267,0.382,64,93,0.688,90,283,373,185,69,81,79,158,624
Travis Outlaw,26,NJN,82,55,2358,28.8,274,731,0.375,76,252,0.302,132,171,0.772,54,271,325,84,34,36,71,148,756
Marvin Williams,24,ATL,65,52,1865,28.7,246,537,0.458,37,110,0.336,147,174,0.845,68,245,313,88,34,23,62,104,676
Mike Bibby,32,ATL,80,68,2285,28.6,248,576,0.431,153,348,0.44,39,62,0.629,17,178,195,265,50,9,101,175,688
DeMarcus Cousins,20,SAC,81,62,2309,28.5,432,1004,0.43,3,18,0.167,276,402,0.687,217,482,699,204,85,68,268,332,1143
Baron Davis,31,LAC,58,44,1649,28.4,289,693,0.417,81,239,0.339,101,131,0.771,35,121,156,391,78,28,146,143,760
Tim Duncan,34,SAS,76,76,2156,28.4,419,838,0.5,0,4,0,184,257,0.716,169,509,678,203,50,146,122,119,1022
George Hill,24,SAS,76,5,2148,28.3,287,633,0.453,77,204,0.377,233,270,0.863,24,175,199,193,66,21,99,153,884
J.J. Hickson,22,CLE,80,66,2256,28.2,429,936,0.458,0,5,0,247,367,0.673,217,478,695,91,48,54,173,215,1105
Shawn Marion,32,DAL,80,27,2253,28.2,434,834,0.52,5,33,0.152,126,164,0.768,168,383,551,110,68,50,130,144,999
Chuck Hayes,27,HOU,74,63,2079,28.1,244,463,0.527,0,2,0,94,142,0.662,219,380,599,202,79,49,86,200,582
Vince Carter,34,PHO,73,63,2051,28.1,389,891,0.437,116,321,0.361,128,173,0.74,54,221,275,146,67,20,90,193,1022
Derek Fisher,36,LAL,82,82,2297,28,206,529,0.389,63,159,0.396,83,103,0.806,14,138,152,224,99,8,70,192,558
Brandon Roy,26,POR,47,23,1310,27.9,209,523,0.4,38,114,0.333,117,138,0.848,28,93,121,129,37,12,55,76,573
Jodie Meeks,23,PHI,74,64,2062,27.9,242,570,0.425,138,348,0.397,152,170,0.894,21,150,171,78,63,4,60,97,774
Kris Humphries,25,NJN,74,44,2061,27.9,307,583,0.527,0,1,0,127,191,0.665,225,546,771,84,33,80,103,168,741
Andrew Bynum,23,LAL,54,47,1500,27.8,237,413,0.574,0,0,,138,209,0.66,170,338,508,73,19,106,74,140,612
Daniel Gibson,24,CLE,67,15,1865,27.8,264,660,0.4,118,293,0.403,134,163,0.822,24,153,177,201,48,21,80,154,780
Greg Monroe,20,DET,80,48,2222,27.8,303,550,0.551,0,1,0,145,233,0.622,248,353,601,105,93,45,81,196,751
JaVale McGee,23,WAS,79,75,2193,27.8,332,604,0.55,0,3,0,134,230,0.583,223,411,634,38,41,193,102,232,798
Tyson Chandler,28,DAL,74,74,2059,27.8,266,407,0.654,0,0,,216,295,0.732,206,486,692,32,36,80,88,240,748
Roy Hibbert,24,IND,81,80,2244,27.7,410,890,0.461,0,4,0,205,275,0.745,182,428,610,166,33,142,185,256,1025
Mike Dunleavy,30,IND,61,44,1683,27.6,240,520,0.462,102,254,0.402,100,125,0.8,28,248,276,105,40,30,69,107,682
Ryan Gomes,28,LAC,76,62,2095,27.6,207,505,0.41,72,211,0.341,61,85,0.718,61,193,254,118,62,12,55,159,547
Richard Hamilton,32,DET,55,39,1498,27.2,288,671,0.429,55,144,0.382,146,172,0.849,24,102,126,171,39,4,88,95,777
Serge Ibaka,21,OKC,82,44,2216,27,335,617,0.543,0,1,0,138,184,0.75,214,408,622,22,31,198,71,267,808
James Harden,21,OKC,82,5,2189,26.7,298,684,0.436,113,324,0.349,289,343,0.843,42,213,255,176,92,24,106,207,998
Reggie Evans,30,TOR,30,18,798,26.6,42,103,0.408,0,1,0,48,88,0.545,119,226,345,38,29,6,39,89,132
Linas Kleiza,26,TOR,39,23,1032,26.5,178,406,0.438,39,131,0.298,41,65,0.631,37,140,177,40,19,7,65,99,436
Luc Mbah a Moute,24,MIL,79,52,2093,26.5,198,428,0.463,0,7,0,133,188,0.707,169,251,420,68,72,28,77,180,529
Udonis Haslem,30,MIA,13,0,345,26.5,44,86,0.512,0,0,,16,20,0.8,29,77,106,6,7,3,14,39,104
Carl Landry,27,SAC,76,26,2008,26.4,345,687,0.502,0,4,0,213,288,0.74,165,182,347,63,40,32,109,196,903
O.J. Mayo,23,MEM,71,17,1869,26.3,304,747,0.407,96,264,0.364,99,131,0.756,35,135,170,145,73,26,99,127,803
Ramon Sessions,24,CLE,81,38,2133,26.3,362,776,0.466,3,15,0.2,348,423,0.823,46,209,255,419,60,8,178,93,1075
Ty Lawson,23,DEN,80,31,2103,26.3,346,688,0.503,69,171,0.404,172,225,0.764,67,142,209,377,80,4,137,133,933
Brandon Rush,25,IND,67,21,1754,26.2,217,515,0.421,93,223,0.417,80,106,0.755,33,184,217,62,41,35,69,107,607
Chris Kaman,28,LAC,32,15,838,26.2,177,376,0.471,0,0,,43,57,0.754,51,174,225,46,16,48,58,75,397
Wesley Johnson,23,MIN,79,63,2069,26.2,271,682,0.397,103,289,0.356,64,92,0.696,51,189,240,148,58,54,95,163,709
Brandon Bass,25,ORL,76,51,1980,26.1,332,645,0.515,0,2,0,190,233,0.815,134,290,424,57,27,52,97,159,854
Jared Dudley,25,PHO,82,15,2140,26.1,300,629,0.477,105,253,0.415,162,218,0.743,111,207,318,108,87,20,77,139,867
Marcus Camby,36,POR,59,51,1540,26.1,117,294,0.398,0,1,0,43,70,0.614,182,424,606,121,40,92,62,140,277
Ben Gordon,27,DET,82,27,2131,26,339,770,0.44,107,266,0.402,136,160,0.85,41,154,195,171,48,16,141,178,921
Kwame Brown,28,CHA,66,50,1714,26,194,375,0.517,0,0,,136,231,0.589,147,303,450,43,26,39,69,174,524
Thaddeus Young,22,PHI,82,1,2135,26,458,847,0.541,6,22,0.273,123,174,0.707,153,281,434,82,90,26,99,170,1045
Thabo Sefolosha,26,OKC,79,79,2049,25.9,157,333,0.471,28,102,0.275,59,79,0.747,65,281,346,111,97,38,55,171,401
Amir Johnson,23,TOR,72,54,1853,25.7,281,495,0.568,0,1,0,126,160,0.788,189,272,461,81,53,88,69,263,688
Gilbert Arenas,29,ORL,70,16,1796,25.7,269,734,0.366,97,327,0.297,120,153,0.784,22,167,189,274,74,21,177,188,755
Kenyon Martin,33,DEN,48,48,1233,25.7,185,362,0.511,2,9,0.222,42,72,0.583,67,230,297,109,43,35,59,136,414
DeAndre Jordan,22,LAC,80,66,2047,25.6,234,341,0.686,0,1,0,98,217,0.452,207,368,575,42,41,142,101,255,566
J.J. Redick,26,ORL,59,5,1513,25.6,197,447,0.441,87,219,0.397,112,128,0.875,6,107,113,102,29,3,53,80,593
Kendrick Perkins,26,OKC,29,24,742,25.6,67,130,0.515,0,0,,40,72,0.556,62,170,232,26,9,26,56,91,174
Marcin Gortat,26,PHO,80,14,2032,25.4,338,603,0.561,1,4,0.25,140,193,0.725,148,483,631,70,36,91,81,188,817
C.J. Miles,23,UTA,78,19,1969,25.2,366,899,0.407,109,339,0.322,159,196,0.811,54,201,255,135,74,38,93,221,1000
Ersan Ilyasova,23,MIL,60,34,1505,25.1,221,507,0.436,36,121,0.298,93,104,0.894,105,260,365,56,51,24,63,159,571
J.R. Smith,25,DEN,79,6,1968,24.9,341,784,0.435,124,318,0.39,163,221,0.738,45,277,322,175,92,16,100,173,969
Drew Gooden,29,MIL,35,18,860,24.6,156,362,0.431,3,20,0.15,81,102,0.794,73,165,238,47,21,18,46,98,396
Ed Davis,21,TOR,65,17,1602,24.6,215,373,0.576,0,0,,71,128,0.555,168,294,462,40,39,67,48,183,501
Jordan Farmar,24,NJN,73,18,1796,24.6,255,651,0.392,109,304,0.359,82,100,0.82,24,149,173,368,62,6,139,128,701
Randy Foye,27,LAC,63,24,1551,24.6,206,531,0.388,71,217,0.327,133,149,0.893,13,90,103,170,47,21,95,122,616
Sasha Vujacic,26,NJN,67,17,1648,24.6,239,595,0.402,97,262,0.37,81,96,0.844,30,156,186,132,54,5,66,136,656
Jordan Crawford,22,WAS,42,18,1027,24.5,192,500,0.384,33,128,0.258,73,84,0.869,31,74,105,117,39,3,83,63,490
Marco Belinelli,24,NOH,80,69,1957,24.5,302,691,0.437,134,324,0.414,98,125,0.784,17,134,151,92,38,6,77,146,836
Darko Milicic,25,MIN,69,69,1686,24.4,271,578,0.469,0,0,,64,115,0.557,133,227,360,104,54,140,151,229,606
Gerald Henderson,23,CHA,68,30,1661,24.4,259,570,0.454,7,36,0.194,128,163,0.785,49,158,207,101,50,32,64,118,653
Marcus Thornton,23,SAC,73,23,1775,24.3,350,807,0.434,88,240,0.367,145,184,0.788,61,197,258,135,64,9,93,110,933
Toney Douglas,24,NYK,81,9,1971,24.3,314,755,0.416,143,383,0.373,85,107,0.794,65,179,244,244,89,4,89,177,856
Samuel Dalembert,29,SAC,80,46,1938,24.2,268,567,0.473,0,2,0,108,148,0.73,212,445,657,67,36,116,132,225,644
Leandro Barbosa,28,TOR,58,0,1395,24.1,294,653,0.45,72,213,0.338,109,137,0.796,14,85,99,119,50,6,84,112,769
Omri Casspi,22,SAC,71,27,1702,24,225,546,0.412,92,247,0.372,68,101,0.673,74,233,307,74,54,13,68,115,610
