 85  NEVER    SURG       17      0  YES              5       5        1       1
 86  NEVER    MED        15     25  YES              5       .        2       4
 87  USED     MED        25      .  YES              3       3        3       3
 88  NEVER    SURG       13      1  YES              4       3        1       1
 89  NEVER    MED        23      1  YES              3       3        1       1
 90  NEVER    SURG       18      .  YES              3       3        2       2
 91  NEVER    SURG        8     10  YES              5       .        .       .
 92  USED     SURG       20      0  YES              4       5        3       2
 93  NEVER    MED         7      2  YES              4       4        1       1
 94  NEVER    SURG        9     20  YES              3       3        5       4
 95  USED     SURG        .     30  YES              3       4        4       3
 96  USED     SURG       14      .  YES              4       5        3       3
 97  NEVER    SURG        6      0  YES              .       3        3       3
 98  USED     MED        15      .  YES              5       5        3       4
 99  NEVER    SURG       40      9  YES              3       3        3       3
100  NEVER    SURG       18     30  YES              4       4        4       1
101  USED     SURG        1      .  YES              .       .        .       .
102  NEVER    SURG       16      .  YES              3       4        3       2
103  NEVER    MED         2     80  YES              .       .        .       .
104  NEVER    MED        10      .  YES              5       5        1       2
105  USED     MED        30      3  YES              5       5        1       1
106  NEVER    SURG        3     10  YES              3       3        1       1
107  USED     SURG       10      .  YES              4       4        4       4
108  NEVER    MED        12      .  YES              3       2        2       2
109  NEVER    MED         5      6  YES              3       3        3       3
110  NEVER    MED        15      .  YES              .       .        1       1
111  NEVER    SURG       24     10  YES              3       4        4       2
112  NEVER    SURG       20     40  YES              .       .        .       .
113  NEVER    SURG        .      .  YES              .       .        .       .
114  NEVER    MED         5     30  YES              5       5        3       1
115  NEVER    SURG        .      .  YES              3       2        4       2
116  USED     MED        20      4  YES              4       4        1       1
117  NEVER    MED        14      .  YES              3       3        3       3
118  NEVER    SURG       14     21  YES              3       2        4       4

